audio_file,video_file,caption,gram_volume,cosine_loss_sum,cosine_loss_lv,cosine_loss_la,cosine_loss_va
file_-6ODGR0PdYA_32.wav,file_-6ODGR0PdYA_32.mp4,"singing bowl",0.882387,2.145420,0.614278,0.722701,0.808441
file_-C-EGagVRfc_11.wav,file_-C-EGagVRfc_11.mp4,"fire truck siren",0.901373,2.427003,0.585047,0.867695,0.974262
file_0pz8bFAYl9M_30.wav,file_0pz8bFAYl9M_30.mp4,"male speech, man speaking",0.944571,2.396703,0.759765,0.818555,0.818383
file_0H7iesPsXjI_380.wav,file_0H7iesPsXjI_380.mp4,"slot machine",0.968930,2.601358,0.778860,0.910431,0.912067
file_-AJ-i44WlRc_273.wav,file_-AJ-i44WlRc_273.mp4,"people finger snapping",0.992484,2.814746,0.893502,0.940884,0.980360
file_0g2N9MU9rYc_9.wav,file_0g2N9MU9rYc_9.mp4,"skiing",0.910194,2.315094,0.626755,0.818597,0.869742
file_0lPdVM01xXw_30.wav,file_0lPdVM01xXw_30.mp4,"child singing",0.894924,2.424334,0.890234,0.565186,0.968915
file_-19HsqaVOHU_3.wav,file_-19HsqaVOHU_3.mp4,"crow cawing",0.886442,2.243601,0.713903,0.620742,0.908957
file_0v7tlKlPswI_24.wav,file_0v7tlKlPswI_24.mp4,"dog howling",0.954620,2.622787,0.729500,0.879729,1.013558
file_-3cXcRajPSc_30.wav,file_-3cXcRajPSc_30.mp4,"raining",0.921201,2.354312,0.777685,0.673427,0.903201
file_-1ABuaSkkio_30.wav,file_-1ABuaSkkio_30.mp4,"male singing",0.937756,2.381674,0.746536,0.765951,0.869187
file_0mySctvwmfY_30.wav,file_0mySctvwmfY_30.mp4,"car passing by",0.950791,2.457380,0.747692,0.836644,0.873044
file_0Dsj7uXhs-8_440.wav,file_0Dsj7uXhs-8_440.mp4,"church bell ringing",0.938734,2.418856,0.871176,0.697769,0.849912
file_0kar1O-1Ckk_114.wav,file_0kar1O-1Ckk_114.mp4,"playing french horn",0.919525,2.325511,0.656914,0.818237,0.850360
file_-9lhTURiG5A_30.wav,file_-9lhTURiG5A_30.mp4,"male singing",0.937135,2.372784,0.818464,0.833634,0.720686
file_0VeCqFvVUQg_40.wav,file_0VeCqFvVUQg_40.mp4,"people hiccup",0.985250,2.702941,0.880418,0.933595,0.888927
file_-d6AgTYFgIE_30.wav,file_-d6AgTYFgIE_30.mp4,"playing acoustic guitar",0.875595,2.131443,0.586818,0.747287,0.797338
file_0_g2HIA5DSQ_578.wav,file_0_g2HIA5DSQ_578.mp4,"playing bassoon",0.947204,2.412859,0.779704,0.789347,0.843808
file_0qCpDOKkppQ_101.wav,file_0qCpDOKkppQ_101.mp4,"parrot talking",0.835892,1.991776,0.540866,0.670090,0.780820
file_-D7Od7iYq0A_30.wav,file_-D7Od7iYq0A_30.mp4,"playing marimba, xylophone",0.854521,2.019542,0.593646,0.663635,0.762260
file_0KweewGN-aY_30.wav,file_0KweewGN-aY_30.mp4,"people whistling",0.927072,2.337836,0.765986,0.706505,0.865345
file_0r-jq-oo-mI_500.wav,file_0r-jq-oo-mI_500.mp4,"orchestra",0.872838,2.081542,0.628292,0.773693,0.679557
file_-BlCcJuYqVA_297.wav,file_-BlCcJuYqVA_297.mp4,"zebra braying",0.922148,2.472368,0.633155,0.869425,0.969788
file_-9OlCOVm5-o_30.wav,file_-9OlCOVm5-o_30.mp4,"singing bowl",0.926479,2.439943,0.651843,0.847714,0.940385
file_0viVGHuNVIc_120.wav,file_0viVGHuNVIc_120.mp4,"skidding",0.944688,2.438546,0.751102,0.783944,0.903500
file_0glBUluF4Yk_175.wav,file_0glBUluF4Yk_175.mp4,"fox barking",0.819161,2.131605,0.475101,0.736941,0.919562
file_0VW26aTHE14_30.wav,file_0VW26aTHE14_30.mp4,"playing electric guitar",0.881927,2.248348,0.568472,0.790986,0.888891
file_0-fd-lvizrY_24.wav,file_0-fd-lvizrY_24.mp4,"yodelling",0.969543,2.605165,0.925667,0.783003,0.896496
file_0wRsK8Qv_zs_186.wav,file_0wRsK8Qv_zs_186.mp4,"singing choir",0.840225,2.030565,0.565439,0.640540,0.824586
file_-DapSUnPLLc_41.wav,file_-DapSUnPLLc_41.mp4,"volcano explosion",0.932733,2.499460,0.731116,0.761654,1.006690
file_-4eXuXHZw_A_30.wav,file_-4eXuXHZw_A_30.mp4,"playing snare drum",0.874894,2.103633,0.615078,0.697928,0.790626
file_-6WHMBzZjbc_131.wav,file_-6WHMBzZjbc_131.mp4,"playing squash",0.875763,2.297059,0.549927,0.806893,0.940239
file_0OpxkRRNY7s_30.wav,file_0OpxkRRNY7s_30.mp4,"wind noise",0.922083,2.288311,0.753276,0.712806,0.822228
file_0nZtro5zbHg_30.wav,file_0nZtro5zbHg_30.mp4,"female singing",0.866361,2.142741,0.586731,0.692226,0.863783
file_-1oRfe0FQI8_60.wav,file_-1oRfe0FQI8_60.mp4,"railroad car, train wagon",0.897199,2.230220,0.612259,0.806981,0.810981
file_-2qJQqXbtZs_128.wav,file_-2qJQqXbtZs_128.mp4,"vacuum cleaner cleaning floors",0.919243,2.495030,0.614188,0.965778,0.915063
file_-aY9NqOlPEI_1.wav,file_-aY9NqOlPEI_1.mp4,"cat meowing",0.870633,2.120612,0.664184,0.620317,0.836112
file_-cT03CPlOqc_161.wav,file_-cT03CPlOqc_161.mp4,"mynah bird singing",0.884660,2.288061,0.652732,0.676914,0.958415
file_0vHTUkZJeDQ_30.wav,file_0vHTUkZJeDQ_30.mp4,"female speech, woman speaking",0.931777,2.386252,0.691440,0.806488,0.888325
